1,FallCheck,0,-30,0,
1,Line,0,-0.5,3,9,0.5,0.5,
1,PLAYER,-2,-0.0240536,0,0,0.9,0.01,1,0
1,PLAYER,2,0,0,0,0.9,0.01,1,1
1,BOX,-5,0,30,1,2,70,0,0,0,0.9,0.02
1,BOX,5,0,30,1,2,70,0,0,0,0.9,0.02
1,BOX,0,-1,50,10,0.1,38,0,0,0,0.3,0.01
1,BOX,0,0,-5,11,2,1.1,0,0,0,0.8,0.02
1,Area2,0,-0.9,37,10,0.1,4,0,0,0,
1,Area1,0,-0.9,41,10,0.1,4,0,0,0,
1,Area3,0,-0.9,33,10,0.1,4,0,0,0,
1,BOX,0,-0.4,14.531,10,0.1,10,-10,0,0,0.3,0.01
1,BOX,0,-1,5,10,0.1,20,0,0,0,0.6,0.01
1,BOX,0,0.967012,63.3269,11,3.91441,1.1,0,0,0,0.4,0.02
