1,PLAYER,0,-2,-2,1,0,1,0,,,,
1,PLAYER,0,-2,3,1,0,1,1,,,,
1,BALL,2,-3,15,1,0,1,,,,,
1,BALL,-0.5,-3,-10,0.9,0,1,,,,,
1,BALL,3,-1.27755,10,1,0,1,,,,,
1,BALL,-1,-2,-4,0.9,0,1,,,,,
1,BALL,2,-3,5,0.8,0,1,,,,,
1,BALL,-2,-2,1,0.8,0,1,,,,,
1,BALL,4.70932,-3,5,0.8,0,1,,,,,
1,BALL,4.70932,-3,-15.329,0.9,0,1,,,,,
1,BALL,-6.14991,-3,-15.329,0.9,0,1,,,,,
1,BALL,-6.14991,-3,2.21962,0.8,0,1,,,,,
1,BALL,-4.76057,-3,11.1494,0.8,0,1,,,,,
1,BALL,-0.684949,-3,15.1628,1,0,1,,,,,
1,BALL,-0.684949,-3,-13.249,0.9,0,1,,,,,
1,BALL,3.76646,-3,-7.50209,0.9,0,1,,,,,
1,BALL,-6.26016,-3,-7.50209,0.9,0,1,,,,,
1,BOX,0,-2.85101,-20,18.5251,1.72299,1,0,0,0,1,0.1
1,BOX,0,-2.60431,20,18.1917,1.29233,1,0,0,0,1,0.05
1,BOX,0,-4,0,200,1,200,0,0,0,0.8,0.02
1,BOX,0,1,100,200,10,1,0,0,0,1,1
1,BOX,0,1,-100,200,10,1,0,0,0,1,1
1,BOX,100,1,0,1,10,200,0,0,0,1,1
1,BOX,-100,1,0,1,10,200,0,0,0,1,1
1,BOX,8.80416,-3,0.187799,0.5,2,39.5885,0,0,0,1,0.05
1,BOX,-8.91381,-3,0.490313,0.5,2,41.5037,0,0,0,1,0.05
1,BOX,57.962,-1.44844,4.67714,28.7844,0.486223,26.0763,0,0,9.89473,0.6,0.01
1,BOX,-4.1227,-3.07404,-13.0576,2.83121,1,0.808064,0,-38.0939,0,0.8,0.01
1,BOX,4.10917,-3.07404,10.8903,2.83121,1,0.808064,0,39.2299,0,0.8,0.02
1,BOX,2.64604,-3.07404,-2.70746,2.83121,1,0.808064,0,-1.6047,0,0.8,0.01
1,BOX,-4.54521,-2.99991,5.61244,3.13465,1,0.309258,0,0,0,0.8,0.01
